"device.name","device.entity","device.hardware.model","device.hardware.type","device.operating_system.name"
"device-8f4b4393dce64a0f872e343b56190bb3","","Lenovo Pro Max","laptop","Windows 11"
"device-24397da4abbf448cb018fb9411558154","","Lenovo Pro Max","laptop","Windows 11"
"device-a4dedbb2c64b4134931614d2b96ab05f","","Lenovo Pro Max","laptop","Windows 11"
"device-42ea81930285402ea2b3f05ed11fdd17","","Lenovo Pro Max","laptop","Windows 11"
"device-de9259c13b1a41d1a6711044bfcdc3b0","","Lenovo Pro Max","laptop","Windows 11"
"device-0d37c4ea497b449aa815133a4f61ea30","","Lenovo Pro Max","laptop","Windows 11"
"device-a21d223aa88f4331a9669b9cda340d8f","","Lenovo Pro Max","laptop","Windows 11"
"device-e5d6810471e845349250cc241646d790","","Lenovo Pro Max","laptop","Windows 11"
"device-f90e2bf2cf3a45ddb35f1bdd77896af3","","Lenovo Pro Max","laptop","Windows 11"
"device-75a7e1485f3b47e3949a619a8a24076e","","Lenovo Pro Max","laptop","Windows 11"
"device-fe5d6462735b433c82a5fbd425f405de","","Lenovo Pro Max","laptop","Windows 11"
"device-187adfb6045c435abdf2e243ab0bc5ff","","Lenovo Pro Max","laptop","Windows 11"
"device-b8c443765f064fddb654ac209eab9ce2","","Lenovo Pro Max","laptop","Windows 11"
"device-6bb9fee7d544430fa969d1ba3a1c1f2d","","Lenovo Pro Max","laptop","Windows 11"
"device-68ed1b034af94fbaa504835b1fe882d1","","Lenovo Pro Max","laptop","Windows 11"
"device-797d52fc0dfc4390bf719fd6476ae568","","Lenovo Pro Max","laptop","Windows 11"
"device-f9955bbffa634968b7e6bb4ecc1a84a9","","Lenovo Pro Max","laptop","Windows 11"
"device-aaae913779e6497fa77a6ae4d74ecf6a","","Lenovo Pro Max","laptop","Windows 11"
"device-d279a233b39d4a8bb004b7f118773ca6","","Lenovo Pro Max","laptop","Windows 11"
"device-490068f80072460ab310339ac4ac523e","","Lenovo Pro Max","laptop","Windows 11"
"device-0b8cf49c267f4e2d8cb5bf9c15bf6bd2","","Lenovo Pro Max","laptop","Windows 11"
"device-6f474642c32941958458cc0509a0c5ec","","Lenovo Pro Max","laptop","Windows 11"
"device-86f16304a3bc4510837f57cd6010b5f7","","Lenovo Pro Max","laptop","Windows 11"
"device-0bd40824e1414ad395dbd933590d5fa2","","Lenovo Pro Max","laptop","Windows 11"
"device-2929d197a5f34ebd97cf3ec606a55217","","Lenovo Pro Max","laptop","Windows 11"
"device-90fa01ece0c043d8a3c10ab5d4ab3436","","Lenovo Pro Max","laptop","Windows 11"
"device-93a99c9e59e34c89bf12f9dbdba3003c","","Lenovo Pro Max","laptop","Windows 11"
"device-8f3a62138c444eb2a5f8840e7b4319b8","","Lenovo Pro Max","laptop","Windows 11"
"device-b6fc1928cdf341e89a59b4936b4b6926","","Lenovo Pro Max","laptop","Windows 11"
"device-38384fc7f84741ae80614a030e607d9a","","Lenovo Pro Max","laptop","Windows 11"
"device-d25366db20b7445bb4ffeed1d91e29dc","","Lenovo Pro Max","laptop","Windows 11"
"device-eba9b57fccbc484c9717b66ea9df843e","","Lenovo Pro Max","laptop","Windows 11"
"device-8ce3a288b28e4292859ec7e0f27452db","","Lenovo Pro Max","laptop","Windows 11"
"device-3044906366fc4b0da033fe16983d5712","","Lenovo Pro Max","laptop","Windows 11"
"device-c770110955504ca6a6b602c7270bf76b","","Lenovo Pro Max","laptop","Windows 11"
"device-9c05528a95b94f39bc63d0d86fd8c041","","Lenovo Pro Max","laptop","Windows 11"
"device-a6e2d22254494a249c40599a7fa3f716","","Lenovo Pro Max","laptop","Windows 11"
"device-d7f444ec18294d8a923177557d516c0d","","Lenovo Pro Max","laptop","Windows 11"
"device-95fac56418d744a8a44503ddb5fb5953","","Lenovo Pro Max","laptop","Windows 11"
"device-9a9f5558cc5d4255ba9938a5e0b2f93b","","Lenovo Pro Max","laptop","Windows 11"
"device-345ae713fec94881a8f4decd563aed9b","","Lenovo Pro Max","laptop","Windows 11"
"device-b0ea43ecfd224a68b7b57201c12489db","","Lenovo Pro Max","laptop","Windows 11"
"device-19daf5d2be0f4cb0854d18de76dfb4df","","Lenovo Pro Max","laptop","Windows 11"
"device-2e21cd138bde447993a7108ea29aacd2","","Lenovo Pro Max","laptop","Windows 11"
"device-09ec8dfe1a8e4af7a3b00e4ad898387a","","Lenovo Pro Max","laptop","Windows 11"
"device-69516206562345ca9f5f3169454845ba","","Lenovo Pro Max","laptop","Windows 11"
"device-c9c7eab316a441e2a73034161401c317","","Lenovo Pro Max","laptop","Windows 11"
"device-dc8f15284e614fddacef024575dd5bc0","","Lenovo Pro Max","laptop","Windows 11"
"device-468a78a5d6fb430d9029b67552a00b2b","","Lenovo Pro Max","laptop","Windows 11"
"device-fc3dfe0183cb410ea9d761f65b71f12f","","Lenovo Pro Max","laptop","Windows 11"
"device-90834d4f29e14319bb7b25b096f2d014","","Lenovo Pro Max","laptop","Windows 11"
"device-4c9825bbf82749dd85a248a67f94cf68","","Lenovo Pro Max","laptop","Windows 11"
"device-5e3e66c2b2aa4b7aa4ddf5d24f0a29c2","","Lenovo Pro Max","laptop","Windows 11"
"device-c12779093c614312814028990e6effca","","Lenovo Pro Max","laptop","Windows 11"
"device-25fcf36bbfe34acabdd49aa782d3d106","","Lenovo Pro Max","laptop","Windows 11"
"device-8093f9a0f3674ed1b90201e6bcc78a0d","","Lenovo Pro Max","laptop","Windows 11"
"device-517690b1d9004bf5a9a17be041be2170","","Lenovo Pro Max","laptop","Windows 11"
"device-2f5b3dcf5cee482d81afda9269d448d0","","Lenovo Pro Max","laptop","Windows 11"
"device-59378db70e764f6b88d92fea213e900d","","Lenovo Pro Max","laptop","Windows 11"
"device-44efad515e584c5582d48c2a3af84717","","Lenovo Pro Max","laptop","Windows 11"
"device-480737a872da4be5ab972af06a23f528","","Lenovo Pro Max","laptop","Windows 11"
"device-30b0c9f1ece7429989074c319caf16bd","","Lenovo Pro Max","laptop","Windows 11"
"device-476cd681d7754197b9aa17ee042b8ba3","","Lenovo Pro Max","laptop","Windows 11"
"device-3efe718479794e30aaff55eb92b8227c","","Lenovo Pro Max","laptop","Windows 11"
"device-0474996390f440d194f47971f217e007","","Lenovo Pro Max","laptop","Windows 11"
"device-9703b7b8d67f4e198f2a64b108d5c73a","","Lenovo Pro Max","laptop","Windows 11"
"device-5ec05d42bac74d96994acbca37588fcc","","Lenovo Pro Max","laptop","Windows 11"
"device-1f49325f57bf414e82188af2d788dd24","","Lenovo Pro Max","laptop","Windows 11"
"device-78f41c3158c34f50b872d4baecd8fe64","","Lenovo Pro Max","laptop","Windows 11"
"device-b2daa026c2734c32b6ccebd84aaabf46","","Lenovo Pro Max","laptop","Windows 11"
"device-4c657fb89ab346adb99156bcba270b45","","Lenovo Pro Max","laptop","Windows 11"
"device-460bee17ecd24d42a5bdbb6129318143","","Lenovo Pro Max","laptop","Windows 11"
"device-bcaa8467e0a346a497f858b6b14561ad","","Lenovo Pro Max","laptop","Windows 11"
"device-716ae610220742b190a18d7ed5478fc8","","Lenovo Pro Max","laptop","Windows 11"
"device-5af736522a5741d49a238b6798a7d536","","Lenovo Pro Max","laptop","Windows 11"
"device-009305abb398455c9006f7e730aedb10","","Lenovo Pro Max","laptop","Windows 11"
"device-0294602ff74b4a8fb76f5001ecdbfb4f","","Lenovo Pro Max","laptop","Windows 11"
"device-6d237deb5d7745a49411664fa978ef45","","Lenovo Pro Max","laptop","Windows 11"
"device-b6ecc8e3ed5c41b58c75fefa45316c52","","Lenovo Pro Max","laptop","Windows 11"
"device-4310549872f7465ba462e04e0c7fb847","","Lenovo Pro Max","laptop","Windows 11"
"device-0b76457b1e194f9693032f30596c01d0","","Lenovo Pro Max","laptop","Windows 11"
"device-88127cfa339745d69d81cd347303650f","","Lenovo Pro Max","laptop","Windows 11"
"device-6d6b2b5827994331b329db39f03c0612","","Lenovo Pro Max","laptop","Windows 11"
"device-c2bf82fd5a994ada8da3b7141bb3d6b1","","Lenovo Pro Max","laptop","Windows 11"
"device-a64f011f3b084d13af495c148564fd76","","Lenovo Pro Max","laptop","Windows 11"
"device-168ec7eeb6654d4a9feddb8173ded032","","Lenovo Pro Max","laptop","Windows 11"
"device-a1d79c9e84f5435dbd621ca3a4f8f720","","Lenovo Pro Max","laptop","Windows 11"
"device-cbd19234657e488782da9df87308ee06","","Lenovo Pro Max","laptop","Windows 11"
"device-81c4827dbf87448880e554625d12a4c3","","Lenovo Pro Max","laptop","Windows 11"
"device-6a16746ae5be4fe38a07354613d9226e","","Lenovo Pro Max","laptop","Windows 11"
"device-58f29bc0508647d0841607144a592c38","","Lenovo Pro Max","laptop","Windows 11"
"device-ca6bbd6df9be4d719c1bcd7bdac807b7","","Lenovo Pro Max","laptop","Windows 11"
"device-9212c66901374d819f2c9d58e534cc6a","","Lenovo Pro Max","laptop","Windows 11"
"device-7ed7be48ed5044e292f5022c6116c576","","Lenovo Pro Max","laptop","Windows 11"
"device-dbe7ca82cb7d4e1ab5e5f95dd1c59565","","Lenovo Pro Max","laptop","Windows 11"
"device-8955618f39844b0bb1e17df7f98e3f93","","Lenovo Pro Max","laptop","Windows 11"
"device-42e0c12bf8004c559a2199e31b128da7","","Lenovo Pro Max","laptop","Windows 11"
"device-907df5dcdb334690a923b274fe83a532","","Lenovo Pro Max","laptop","Windows 11"
"device-1186cad20fc14f44933f0d06b882c76c","","Lenovo Pro Max","laptop","Windows 11"
"device-7d61a35a123f4165ba82e466bad09545","","Lenovo Pro Max","laptop","Windows 11"
"device-a0e17c1318f34942bb82186e54c39c24","","Lenovo Pro Max","laptop","Windows 11"
"device-697436029ea34cc5892662d660973bc9","","Lenovo Pro Max","laptop","Windows 11"
"device-bae2d6e8ea7c4fe5b0534463d837f4ef","","Lenovo Pro Max","laptop","Windows 11"
"device-b3ffacfa77784f639c2b8902970f7b90","","Lenovo Pro Max","laptop","Windows 11"
"device-12067595c77e43048f0961c81640bd72","","Lenovo Pro Max","laptop","Windows 11"
"device-1529ad42be614379a8a42a5375f93bda","","Lenovo Pro Max","laptop","Windows 11"
"device-5b95c793115e4d6980e91dc99b532a40","","Lenovo Pro Max","laptop","Windows 11"
"device-bc338640fde1437b9daf5896a0ffacec","","Lenovo Pro Max","laptop","Windows 11"
"device-1c7f9b1045ae4bfab733ce31889aa9e9","","Lenovo Pro Max","laptop","Windows 11"
"device-cfcf01bb7d074758892b090f17e2fd9d","","Lenovo Pro Max","laptop","Windows 11"
"device-2c5b817870f646eaaf705591c58c8a16","","Lenovo Pro Max","laptop","Windows 11"
"device-89d01f2ecbe546b2bd77bb2a4dc74df0","","Lenovo Pro Max","laptop","Windows 11"
"device-e0dce32b0e744811830a53d921c66264","","Lenovo Pro Max","laptop","Windows 11"
"device-44352a7bf2524d72907172e7812c5a5e","","Lenovo Pro Max","laptop","Windows 11"
"device-0587b763848d42588839b4294169c55d","","Lenovo Pro Max","laptop","Windows 11"
"device-9e50fd3f07f245459295de341074e937","","Lenovo Pro Max","laptop","Windows 11"
"device-92e70acda21a4ff2b3d9afed5e69da3f","","Lenovo Pro Max","laptop","Windows 11"
"device-ad7ccf1c58da467886664d3d19d646eb","","Lenovo Pro Max","laptop","Windows 11"
"device-e4ad37c9f41c4c678e154b7b93ca21ed","","Lenovo Pro Max","laptop","Windows 11"
"device-30869e58fae345319d90ee2fa2a0852c","","Lenovo Pro Max","laptop","Windows 11"
"device-76e011c5ffc54f2a9d45304abe51b8d1","","Lenovo Pro Max","laptop","Windows 11"
"device-d7d0820742084af3812cedfec5c33a66","","Lenovo Pro Max","laptop","Windows 11"
"device-fe4b6cdc8ac644b9a04d1390ed75b543","","Lenovo Pro Max","laptop","Windows 11"
"device-4a7cbd14c1fe4df793a0a1890a1ab12b","","Lenovo Pro Max","laptop","Windows 11"
"device-a4715da0426c4a85ad7bf1e900f749b3","","Lenovo Pro Max","laptop","Windows 11"
"device-664ca54dd217443ca42f7db18efe2589","","Lenovo Pro Max","laptop","Windows 11"
"device-f4bbdb013882456eb237d883e41ded42","","Lenovo Pro Max","laptop","Windows 11"
"device-5f54f26e263b4f408a2bbac2006ad5fc","","Lenovo Pro Max","laptop","Windows 11"
"device-424606170f464d049ad1a0c6bdc6f68d","","Lenovo Pro Max","laptop","Windows 11"
"device-e2314b8fea344d58a3fe7ff42bac25ca","","Lenovo Pro Max","laptop","Windows 11"
"device-0a36b80e9a114e58bd6580334aabed03","","Lenovo Pro Max","laptop","Windows 11"
"device-507747f107f54512a7684bf72b863b95","","Lenovo Pro Max","laptop","Windows 11"
"device-fadee79104aa4a59ac5d287bae7afa10","","Lenovo Pro Max","laptop","Windows 11"
"device-bde40dc0807e4d979f62740e5806c9fa","","Lenovo Pro Max","laptop","Windows 11"
"device-1ef0e4a9645b4b6ea9577f1a2364dafa","","Lenovo Pro Max","laptop","Windows 11"
"device-efcfc502eed7456abc639fb3802333a3","","Lenovo Pro Max","laptop","Windows 11"
"device-e78f2cfcea684e0883cbb33bbe88e706","","Lenovo Pro Max","laptop","Windows 11"
"device-11328beddf0f4522bf0ae749edd7368c","","Lenovo Pro Max","laptop","Windows 11"
"device-f8dc1b725e874f6db4559d580359ffe5","","Lenovo Pro Max","laptop","Windows 11"
"device-7c52ac91f1144736a96b146fd7155306","","Lenovo Pro Max","laptop","Windows 11"
"device-1f419fefaa4646c98452e384d696930d","","Lenovo Pro Max","laptop","Windows 11"
"device-3185318c33814a9e972620b9e3ee454d","","Lenovo Pro Max","laptop","Windows 11"
"device-1c8ab1449f2c42d2963bbc93e61168a9","","Lenovo Pro Max","laptop","Windows 11"
"device-0bf8b900249e4238b0c8917420a45a1e","","Lenovo Pro Max","laptop","Windows 11"
"device-37b5e49c7ab74f41a793bc70923ee230","","Lenovo Pro Max","laptop","Windows 11"
"device-052a8cde1a7a4e5bb4347a34527f8cad","","Lenovo Pro Max","laptop","Windows 11"
"device-0bfa6b287c454820a4199fcbdda903f8","","Lenovo Pro Max","laptop","Windows 11"
"device-9852594f5f7d4d40934ed6ecc02f02aa","","Lenovo Pro Max","laptop","Windows 11"
"device-fa9374b31fb94317be8e86710d12af28","","Lenovo Pro Max","laptop","Windows 11"
"device-4a34a97f956d41e19c4f20ed83a8a447","","Lenovo Pro Max","laptop","Windows 11"
"device-1b663e1436ea4294a6040109201bea01","","Lenovo Pro Max","laptop","Windows 11"
"device-76d84dacc6f54890a97dc9cabf324c3f","","Lenovo Pro Max","laptop","Windows 11"
"device-9f7f19e136344cf68aec50b2c5a6fd11","","Lenovo Pro Max","laptop","Windows 11"
"device-031efa189d0f469f96caff5238ca64fb","","Lenovo Pro Max","laptop","Windows 11"
"device-100df4932e3642edabd5be258e7f1845","","Lenovo Pro Max","laptop","Windows 11"
"device-8ceae442127d4f539d82dc89131eb6ed","","Lenovo Pro Max","laptop","Windows 11"
"device-c6f272cc40a74552b9f7f7d04a66032b","","Lenovo Pro Max","laptop","Windows 11"
"device-c6970372db724ac5835f4f201e2d22d0","","Lenovo Pro Max","laptop","Windows 11"
"device-f06be449e46146dd9d84baba6f549c4d","","Lenovo Pro Max","laptop","Windows 11"
"device-dd1e2696a27c4ceb9203635eaba9e55b","","Lenovo Pro Max","laptop","Windows 11"
"device-3f835919f30642d0ab7b859136eeb5a6","","Lenovo Pro Max","laptop","Windows 11"
"device-761337bc440c404abf880cdb52507338","","Lenovo Pro Max","laptop","Windows 11"
"device-1219ecdf0867424e911058107b9b99cb","","Lenovo Pro Max","laptop","Windows 11"
"device-7724452a89da40fc98e98ab2f2154564","","Lenovo Pro Max","laptop","Windows 11"
"device-2752344c64f34058ada6735a9ff1f3c9","","Lenovo Pro Max","laptop","Windows 11"
"device-42300e11d36b4c329471b873e0e6420c","","Lenovo Pro Max","laptop","Windows 11"
"device-211d2d8e48b14d7b8326677d9732974d","","Lenovo Pro Max","laptop","Windows 11"
"device-09229551516f4368837a0149ba46549d","","Lenovo Pro Max","laptop","Windows 11"
"device-463d172d21534fc8bcb44016270dc39f","","Lenovo Pro Max","laptop","Windows 11"
"device-9bb2f6d974254ad5a6ae33b6fb39a1bb","","Lenovo Pro Max","laptop","Windows 11"
"device-236d29ca2cd143d4ae39053cb20a2ea8","","Lenovo Pro Max","laptop","Windows 11"
"device-3fa6e1fff49c49888f7713b3189f5bc1","","Lenovo Pro Max","laptop","Windows 11"
"device-6c7f37eb4f1849b3acb5383ae03c5d4a","","Lenovo Pro Max","laptop","Windows 11"
"device-b33dabe4fbd142dd990f4f5a60778b64","","Lenovo Pro Max","laptop","Windows 11"
"device-c0baae81975c457f8f9fe0017185a7fd","","Lenovo Pro Max","laptop","Windows 11"
"device-8c9e6678b0b949f4944d0c380998c837","","Lenovo Pro Max","laptop","Windows 11"
"device-ff51e5e51a844068b6f96fe6adb9cb7c","","Lenovo Pro Max","laptop","Windows 11"
"device-50a64ed74e294b168ea7c3a1aed19a1f","","Lenovo Pro Max","laptop","Windows 11"
"device-88f33045908b446a85fa6f81d1078d9f","","Lenovo Pro Max","laptop","Windows 11"
"device-b996b129da9c4ed0ae7eec44e166d550","","Lenovo Pro Max","laptop","Windows 11"
"device-247cc4ec37594b8fb8f0a7b249a32b74","","Lenovo Pro Max","laptop","Windows 11"
"device-06f1a5fedd694fc0b034bf2a665f0596","","Lenovo Pro Max","laptop","Windows 11"
"device-8aa3a9ed81be461387220527bfb694e7","","Lenovo Pro Max","laptop","Windows 11"
"device-9b58171fef854144a2af21842ae7e2db","","Lenovo Pro Max","laptop","Windows 11"
"device-28d63c32c88a4eb0937c0258ebed2fe4","","Lenovo Pro Max","laptop","Windows 11"
"device-62e0a9c529c54549a314fceb9ffbf0ac","","Lenovo Pro Max","laptop","Windows 11"
"device-e0b47f4a99b24862b554f0414da68938","","Lenovo Pro Max","laptop","Windows 11"
"device-793a7bc771d1410ba2d5af1b1688a1f6","","Lenovo Pro Max","laptop","Windows 11"
"device-e3f13747b3854f03a4a900697eb20e91","","Lenovo Pro Max","laptop","Windows 11"
"device-a3e7e754a5cb492498b7ccc241caa08a","","Lenovo Pro Max","laptop","Windows 11"
"device-73bb91d05aa942629c22ac42decf4cf5","","Lenovo Pro Max","laptop","Windows 11"
"device-a3aa8de6aecb48cc858494117df3494a","","Lenovo Pro Max","laptop","Windows 11"
"device-87b5382e780044758664a8edbeffa127","","Lenovo Pro Max","laptop","Windows 11"
"device-f8e1107112254971a2646aa9ebdb65e4","","Lenovo Pro Max","laptop","Windows 11"
"device-03ae88178069469f9cab2ab24dd8598b","","Lenovo Pro Max","laptop","Windows 11"
"device-6fa86de27ddc4bb18a9b54a1fcee8434","","Lenovo Pro Max","laptop","Windows 11"
"device-bc01e039aa734ffea8577f80b58e75f8","","Lenovo Pro Max","laptop","Windows 11"
"device-219caee73d6140dfa03f05976b1acc59","","Lenovo Pro Max","laptop","Windows 11"
"device-7267a09b92704230ad52dfc0c8e4e2fb","","Lenovo Pro Max","laptop","Windows 11"
"device-f1f9195a42d748729b8c973c21efa6a4","","Lenovo Pro Max","laptop","Windows 11"
"device-10ff2c0aea1e4182a495238caa9bf1d0","","Lenovo Pro Max","laptop","Windows 11"
"device-ed50f9e5ebd747d083f30ee67d16b156","","Lenovo Pro Max","laptop","Windows 11"
"device-9ac8aa8034ec4af0af99d45611f0a9b6","","Lenovo Pro Max","laptop","Windows 11"
"device-537e62393c73483198e34d81c9575341","","Lenovo Pro Max","laptop","Windows 11"
"device-1629ff499e554ce4b7412ec0f7988fb7","","Lenovo Pro Max","laptop","Windows 11"
"device-8bf66f5472a443faa725cd472f1db3b6","","Lenovo Pro Max","laptop","Windows 11"
"device-8b8c06061f564d18bc16252e961bfe1b","","Lenovo Pro Max","laptop","Windows 11"
"device-8ef8b7212bb94ee5bc1ae2b40407f6d0","","Lenovo Pro Max","laptop","Windows 11"
"device-0ec7b241103a423ab4a04a9b9e8a1ff3","","Lenovo Pro Max","laptop","Windows 11"
"device-e6f4c44cafbf447fa671dff22058bbac","","Lenovo Pro Max","laptop","Windows 11"
"device-4c1ed8acd4794a0398b1af0471ad911d","","Lenovo Pro Max","laptop","Windows 11"
"device-3d997d0f08714e71800ed3898c6e66a4","","Lenovo Pro Max","laptop","Windows 11"
"device-2c6996b9d0054659b799c97912ef14e9","","Lenovo Pro Max","laptop","Windows 11"
"device-d471a38330794ffd9d69d1a9e5930c51","","Lenovo Pro Max","laptop","Windows 11"
"device-f6c48682ff49457a9ac7faffb0451dfa","","Lenovo Pro Max","laptop","Windows 11"
"device-d0f1a070fa384346941f8e51be0c7da9","","Lenovo Pro Max","laptop","Windows 11"
"device-454e0980a8354a3991c70221d61bd213","","Lenovo Pro Max","laptop","Windows 11"
"device-6762d66deeea428d953f13303a75e0d4","","Lenovo Pro Max","laptop","Windows 11"
"device-743dfb66d0d34ba4923b410f439e1075","","Lenovo Pro Max","laptop","Windows 11"
"device-c5af0abf71d74229ac48ba899e333d33","","Lenovo Pro Max","laptop","Windows 11"
"device-89b3a012bbcc4e2098167385196675ab","","Lenovo Pro Max","laptop","Windows 11"
"device-ae37a823eb8e436198e002c216273f2c","","Lenovo Pro Max","laptop","Windows 11"
"device-77642b97e3764420826264f21c7fbd3f","","Lenovo Pro Max","laptop","Windows 11"
"device-632fe104938644ab9443b907b20f43ad","","Lenovo Pro Max","laptop","Windows 11"
"device-4ccee97901714973b1e6ea9eef369544","","Lenovo Pro Max","laptop","Windows 11"
"device-6083025e9d644930bcd014fbc464d496","","Lenovo Pro Max","laptop","Windows 11"
